Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2017-07-14 02:37:37,"Evening Workout",1h 36m,"Bench Press (Barbell)",1,61.23,5.0,0,0.0,
2017-07-14 02:37:37,"Evening Workout",1h 36m,"Bench Press (Barbell)",2,43.09,8.0,0,0.0,
2017-07-14 02:37:37,"Evening Workout",1h 36m,"Chin Up",1,0,8.0,0,0.0,
2019-11-30 18:02:11,"Day 1 ",58m,"Bench Press (Barbell)",W,20.41,10.0,0,0.0,
2019-11-30 18:02:11,"Day 1 ",58m,"Bench Press (Barbell)",1,68.04,5.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Squat (Barbell)",W,20.0,8.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Squat (Barbell)",1,25.0,8.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Squat (Barbell)",2,25.0,8.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Bench Press (Barbell)",1,52.5,10.0,0,0.0,8
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Bench Press (Barbell)",D,40.0,12.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Bench Press (Barbell)",F,40.0,6.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Chin Up",1,5.0,9.0,0,0.0,
2026-08-31 10:14:02,"Quads / Pull : DAY 1",1h 20m,"Ab Wheel",1,0,12.0,0,0.0,
2026-09-01 07:02:44,"Morning Workout",22m,"Rowing (Machine)",1,0,0.0,2000,480.0,
2026-09-01 19:31:08,"Push / Isolation : DAY 2 ",1h 12m,"Preacher Curl (Machine)",1,20.0,16.0,0,0.0,
2026-09-01 19:31:08,"Push / Isolation : DAY 2 ",1h 12m,"Preacher Curl (Machine)",1,20.0,16.0,0,0.0,
